event_id,timestamp,project_id,stage_id,event_type,status_after,pct_complete,planned_end_date,actual_date,stage_owner,blocker_flag,blocker_reason,blocker_owner,expected_unblock_date,comment,submitted_by,source
BF-0093,2026-07-27T00:00:00Z,QUMU-NPI-006,fulfillment,Backfill Snapshot,Not Started,0,2026-07-10,2026-07-10,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0094,2026-07-27T00:00:00Z,QUMU-NPI-006,orr,Backfill Snapshot,Not Started,0,2026-07-27,2026-07-27,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0095,2026-07-27T00:00:00Z,QUMU-NPI-006,orderable,Backfill Snapshot,Not Started,0,2026-08-12,2026-08-12,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0096,2026-07-27T00:00:00Z,QUMU-NPI-006,post_orderable,Backfill Snapshot,Not Started,0,2026-08-29,2026-08-29,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0097,2026-07-27T00:00:00Z,NVID-NPI-007,legal,Completed,Complete,100,2025-12-21,2025-12-21,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0098,2026-07-27T00:00:00Z,NVID-NPI-007,documentation,Completed,Complete,100,2026-01-10,2026-01-10,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0099,2026-07-27T00:00:00Z,NVID-NPI-007,pid_prep,Completed,Complete,100,2026-01-30,2026-01-30,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0100,2026-07-27T00:00:00Z,NVID-NPI-007,npi_kickoff,Completed,Complete,100,2026-02-19,2026-02-19,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0101,2026-07-27T00:00:00Z,NVID-NPI-007,pid_creation,Completed,Complete,100,2026-03-11,2026-03-11,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0102,2026-07-27T00:00:00Z,NVID-NPI-007,pid_setups,Completed,Complete,100,2026-03-31,2026-03-31,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0103,2026-07-27T00:00:00Z,NVID-NPI-007,supply_chain,Completed,Complete,100,2026-04-20,2026-04-20,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0104,2026-07-27T00:00:00Z,NVID-NPI-007,ccw,Backfill Snapshot,Not Started,0,2026-05-10,2026-05-10,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0105,2026-07-27T00:00:00Z,NVID-NPI-007,fulfillment,Backfill Snapshot,Not Started,0,2026-05-30,2026-05-30,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0106,2026-07-27T00:00:00Z,NVID-NPI-007,orr,Backfill Snapshot,Not Started,0,2026-06-19,2026-06-19,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0107,2026-07-27T00:00:00Z,NVID-NPI-007,orderable,Backfill Snapshot,Not Started,0,2026-07-09,2026-07-09,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0108,2026-07-27T00:00:00Z,NVID-NPI-007,post_orderable,Backfill Snapshot,Not Started,0,2026-07-29,2026-07-29,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0109,2026-07-27T00:00:00Z,REDH-SUS-008,legal,Completed,Complete,100,2026-03-31,2026-03-31,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0110,2026-07-27T00:00:00Z,REDH-SUS-008,documentation,Completed,Complete,100,2026-04-09,2026-04-09,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0111,2026-07-27T00:00:00Z,REDH-SUS-008,pid_prep,Backfill Snapshot,Not Started,0,2026-04-19,2026-04-19,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0112,2026-07-27T00:00:00Z,REDH-SUS-008,npi_kickoff,Backfill Snapshot,Not Started,0,2026-04-28,2026-04-28,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0113,2026-07-27T00:00:00Z,REDH-SUS-008,pid_creation,Backfill Snapshot,Not Started,0,2026-05-07,2026-05-07,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0114,2026-07-27T00:00:00Z,REDH-SUS-008,pid_setups,Backfill Snapshot,Not Started,0,2026-05-16,2026-05-16,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0115,2026-07-27T00:00:00Z,REDH-SUS-008,supply_chain,Backfill Snapshot,Not Started,0,2026-05-25,2026-05-25,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0116,2026-07-27T00:00:00Z,REDH-SUS-008,ccw,Backfill Snapshot,Not Started,0,2026-06-03,2026-06-03,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0117,2026-07-27T00:00:00Z,REDH-SUS-008,fulfillment,Backfill Snapshot,Not Started,0,2026-06-13,2026-06-13,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0118,2026-07-27T00:00:00Z,REDH-SUS-008,orr,Backfill Snapshot,Not Started,0,2026-06-22,2026-06-22,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0119,2026-07-27T00:00:00Z,REDH-SUS-008,orderable,Backfill Snapshot,Not Started,0,2026-07-01,2026-07-01,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0120,2026-07-27T00:00:00Z,REDH-SUS-008,post_orderable,Backfill Snapshot,Not Started,0,2026-07-10,2026-07-10,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
